"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 04:09:27 UTC 2024","Mon Mar 18 04:09:27 UTC 2024","340","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Mon Mar 18 02:31:55 UTC 2024","Mon Mar 18 02:32:02 UTC 2024","6950","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Mon Mar 18 02:36:08 UTC 2024","Mon Mar 18 02:36:27 UTC 2024","19455","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Mon Mar 18 02:36:02 UTC 2024","Mon Mar 18 02:36:08 UTC 2024","5169","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Mar 18 04:09:21 UTC 2024","Mon Mar 18 04:09:27 UTC 2024","6243","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Mon Mar 18 04:38:49 UTC 2024","Mon Mar 18 04:39:14 UTC 2024","25762","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Mon Mar 18 02:33:44 UTC 2024","Mon Mar 18 02:33:56 UTC 2024","12005","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Mon Mar 18 04:39:49 UTC 2024","Mon Mar 18 04:41:00 UTC 2024","71115","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Mon Mar 18 03:22:57 UTC 2024","Mon Mar 18 03:22:58 UTC 2024","1871","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Mon Mar 18 02:45:32 UTC 2024","Mon Mar 18 02:45:41 UTC 2024","9482","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Mon Mar 18 02:21:05 UTC 2024","Mon Mar 18 02:21:29 UTC 2024","23727","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Mon Mar 18 02:20:41 UTC 2024","Mon Mar 18 02:21:05 UTC 2024","24125","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Mon Mar 18 02:45:30 UTC 2024","Mon Mar 18 02:45:32 UTC 2024","1844","","6. Company Account","","","","6. Review Review Page",""
"passed","Mon Mar 18 02:22:01 UTC 2024","Mon Mar 18 02:22:17 UTC 2024","15556","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Mon Mar 18 02:29:40 UTC 2024","Mon Mar 18 02:29:44 UTC 2024","3965","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Mon Mar 18 02:23:17 UTC 2024","Mon Mar 18 02:23:21 UTC 2024","4100","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Mon Mar 18 02:38:53 UTC 2024","Mon Mar 18 02:39:46 UTC 2024","53002","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Mon Mar 18 02:32:07 UTC 2024","Mon Mar 18 02:32:27 UTC 2024","19586","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Mon Mar 18 02:32:27 UTC 2024","Mon Mar 18 02:32:34 UTC 2024","7050","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Mon Mar 18 04:58:33 UTC 2024","Mon Mar 18 04:58:35 UTC 2024","2436","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Mon Mar 18 04:59:09 UTC 2024","Mon Mar 18 04:59:10 UTC 2024","1281","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Mon Mar 18 02:35:53 UTC 2024","Mon Mar 18 02:36:02 UTC 2024","8909","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Mon Mar 18 02:59:00 UTC 2024","Mon Mar 18 02:59:17 UTC 2024","16959","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Mon Mar 18 02:59:19 UTC 2024","Mon Mar 18 02:59:37 UTC 2024","17781","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Mon Mar 18 04:07:23 UTC 2024","Mon Mar 18 04:07:25 UTC 2024","2509","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Mon Mar 18 02:27:25 UTC 2024","Mon Mar 18 02:27:42 UTC 2024","16730","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Mar 18 03:26:15 UTC 2024","Mon Mar 18 03:26:59 UTC 2024","44319","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Mon Mar 18 02:45:00 UTC 2024","Mon Mar 18 02:45:05 UTC 2024","5218","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Mon Mar 18 02:41:59 UTC 2024","Mon Mar 18 02:42:07 UTC 2024","7809","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Mon Mar 18 03:01:30 UTC 2024","Mon Mar 18 03:01:32 UTC 2024","1376","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Mon Mar 18 02:55:54 UTC 2024","Mon Mar 18 02:56:07 UTC 2024","12901","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Mon Mar 18 04:38:28 UTC 2024","Mon Mar 18 04:38:49 UTC 2024","20586","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Mon Mar 18 02:38:45 UTC 2024","Mon Mar 18 02:38:50 UTC 2024","4314","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Mon Mar 18 04:58:47 UTC 2024","Mon Mar 18 04:59:09 UTC 2024","22133","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Mon Mar 18 04:09:39 UTC 2024","Mon Mar 18 04:09:40 UTC 2024","989","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"skipped","Mon Mar 18 02:21:05 UTC 2024","Mon Mar 18 02:21:05 UTC 2024","4","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Mon Mar 18 04:09:37 UTC 2024","Mon Mar 18 04:09:39 UTC 2024","1900","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Mon Mar 18 02:47:24 UTC 2024","Mon Mar 18 02:48:31 UTC 2024","66965","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Mon Mar 18 04:00:35 UTC 2024","Mon Mar 18 04:04:43 UTC 2024","247881","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Mon Mar 18 02:45:05 UTC 2024","Mon Mar 18 02:45:16 UTC 2024","11104","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Mon Mar 18 03:01:25 UTC 2024","Mon Mar 18 03:01:30 UTC 2024","5074","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Mon Mar 18 02:21:29 UTC 2024","Mon Mar 18 02:21:52 UTC 2024","22824","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Mon Mar 18 04:41:00 UTC 2024","Mon Mar 18 04:41:04 UTC 2024","4343","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Mon Mar 18 03:23:27 UTC 2024","Mon Mar 18 03:24:06 UTC 2024","39168","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Mon Mar 18 02:36:27 UTC 2024","Mon Mar 18 02:36:34 UTC 2024","7040","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Mon Mar 18 04:39:46 UTC 2024","Mon Mar 18 04:39:49 UTC 2024","3096","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Mon Mar 18 02:24:21 UTC 2024","Mon Mar 18 02:24:27 UTC 2024","5918","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Mon Mar 18 02:22:27 UTC 2024","Mon Mar 18 02:22:52 UTC 2024","24926","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Mon Mar 18 02:33:58 UTC 2024","Mon Mar 18 02:33:59 UTC 2024","416","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Mar 18 03:01:09 UTC 2024","Mon Mar 18 03:01:24 UTC 2024","15293","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
